name,traditional_funding_before,traditional_funding_after,%,profit,opensource_solution,nonprofit_cryptocurrency,existence_m,fte,blockchain,single,token_utility_product,only_payment,transaction,generation,other_usage,voting_shareholder,voting_product,voting_other,profit_sharing,non-dividend_return,info,funding,coin_offered,cap_money,same_price,expensive,cheaper,price_ratio,start_date,ICO_days,cap_time,bitcoin,Ethereum,other_bc,bs,other_p,minimum_pledge,high_transaction_fee,u_access_service,u_profit_sharing,u_transaction,u_other,platform_used,bigger_than_10m,mojority_offered,In_2017,traditional_funding,sold_fast,big_team,funding_standardized
Rialto,0,0,1,1,0,0,Unknown,5,1,0,1,1,0,0,0,0,0,0,0,0,1,10000000,1.00,1,0,1,0,1.0909090909,Jun-17,7,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.0332744398
adToken,0,0,1,1,0,0,12,12,1,0,1,1,0,0,1,0,0,1,0,0,1,7697932,0.50,1,1,0,0,1,Jun-17,0.0003472222,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0.0256004123
Golos,0,0,1,0,1,0,Unknown,14,1,1,1,1,0,0,0,0,0,1,0,0,1,453000,0.60,1,0,1,0,1.25,Nov-16,34,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0014491677
Safe Exchange...,0,0,1,1,0,0,1,5,1,1,0,0,0,0,1,0,1,1,1,0,1,50579,0.99,0,0,1,0,1.25,Dec-15,45,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0001076826
Ecobit,0,0,1,1,0,0,Unknown,11,0,0,0,0,0,0,1,0,0,0,1,1,1,5000000,1.00,1,0,1,0,1.5,Apr-17,68,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.0166067578
Polybius,0,0,1,1,0,0,Unknown,12,0,0,0,0,0,0,0,0,0,0,1,0,1,32298489,0.93,0,0,1,0,1.25,May-17,30,1,1,1,0,0,1,10,0,0,1,0,0,1,1,1,1,0,0,1,0.1076072649
TokenCard,0,0,1,1,0,0,Unknown,10,1,0,1,0,0,0,0,0,0,0,0,0,1,12700000,0.65,1,0,1,0,1.5,May-17,0.0208333333,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0.0422749882
Wagerr,0,0,1,1,0,0,156,6,1,1,1,1,0,0,0,1,1,0,0,0,0,10000000,0.85,1,0,1,0,2,Jun-17,21,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.0332744398
OBITS,0,0,1,1,0,0,8,Unknown,1,1,0,0,0,0,0,1,1,0,1,0,1,725550,0.70,1,0,1,0,1,Nov-15,62,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0.002357723
Voxels,0,0,1,1,0,0,36,6,0,1,1,0,0,1,0,0,0,0,0,0,1,18400000,0.15,1,0,1,0,1.538,Nov-15,42,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0612761457
Databits,0,0,1,1,0,0,3,Unknown,0,0,1,1,0,0,0,0,0,0,0,0,1,1069525,0.70,1,0,1,0,1.5,Jan-17,30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0035043762
Bankcoin,0,0,1,1,0,0,Unknown,4,1,1,0,1,1,1,0,0,0,0,0,0,0,1000000,0.72,1,0,1,0,1.25,Nov-16,45,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0032726121
WeTrust,0,0,1,1,0,0,7,10,1,0,1,1,0,0,0,0,0,1,0,0,1,5000000,0.80,1,0,1,0,1.3,Mar-17,12,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0166067578
SONM,0,0,1,1,0,0,3,8,1,0,1,1,0,0,0,0,0,0,1,0,1,42000000,0.75,1,1,0,0,1,Jun-17,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0.1399476051
Agoras Tokens,0,0,1,0,1,0,Unknown,Unknown,1,1,0,0,0,1,0,0,0,0,0,0,0,2000000,0.50,1,1,0,0,1,Nov-14,100,0,1,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,1,0.0066061485
Santiment Net...,0,0,1,1,0,0,8,8,1,0,1,1,0,0,0,0,0,0,0,0,1,11700000,0.75,1,1,0,0,1,Jul-17,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0389414517
NeosCoin,0,0,1,0,0,1,Unknown,Unknown,1,1,0,1,1,1,0,0,0,0,0,0,1,68750,0.05,1,0,1,0,1.25,Aug-14,21,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0001682563
Cofound.it,0,0,1,1,0,0,2,6,1,0,1,1,0,0,0,0,0,0,0,0,1,14859095,0.25,1,1,0,0,1,Jun-17,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.04947241
BCAP,1,0,0.7692307692,1,0,0,42,3,0,0,1,1,0,0,0,0,0,0,1,0,1,10000000,1.00,1,1,0,0,1,Apr-17,0.25,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0.0332744398
Chronobank,1,0,0.5744680851,1,0,0,5,14,0,0,1,0,0,0,0,0,0,0,0,0,1,5400000,0.88,0,1,0,0,1,Dec-16,60,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0.0179401723
Nexium,0,0,1,1,0,0,Unknown,3,1,0,1,1,0,0,0,0,0,0,0,0,1,324266.174492,0.70,1,0,1,0,1.2173913043,Nov-16,30,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0010200288
E-coin,0,0,1,0,0,1,Unknown,Unknown,1,1,0,1,1,0,0,1,1,1,0,0,1,4000000,0.63,0,0,1,0,1,Dec-16,100,0,1,1,1,0,1,0.01,0,0,0,1,0,1,0,0,0,0,0,1,0.0132732213
Patientory,0,0,1,1,0,0,17,7,1,0,1,1,0,0,0,0,0,0,0,0,1,7200000,0.70,1,0,1,0,1.2,May-17,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0239405379
Pluton,0,0,1,0,0,1,5,10,1,0,0,1,1,0,0,0,0,0,0,0,0,1000000,0.04,1,0,1,0,1.03,Jun-16,30,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0032726121
SaluS,0,0,1,0,0,1,Unknown,Unknown,1,1,0,0,1,1,0,0,0,0,0,0,0,18276.18,1.00,0,1,0,0,1,Jan-16,13,1,1,0,0,0,1,6,0,0,0,1,0,1,0,1,0,0,0,1,0
ToaCoin,0,0,1,1,0,0,Unknown,5,0,1,1,0,0,1,1,0,0,0,0,1,1,1000000,0.63,0,1,0,0,1,Jun-17,10,1,0,0,0,0,1,500,0,1,0,0,0,1,0,0,1,0,0,0,0.0032726121
HEAT,0,0,1,1,0,0,Unknown,2,1,1,0,1,1,1,0,0,0,0,0,0,1,900000,0.63,0,1,0,0,1,Jul-16,30,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0029392585
Matchpool,0,0,1,1,0,0,3,9,0,0,1,1,0,0,0,0,0,0,0,0,1,5700000,0.60,1,0,1,0,1.33,Apr-17,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.0189402333
Monaco,0,0,1,1,0,0,11,4,0,0,1,0,0,0,0,0,0,0,0,1,1,25000000,0.30,1,0,1,0,1.5,May-17,30,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.083277486
Mothership,0,0,1,1,0,0,Unknown,6,1,1,1,0,0,0,0,0,0,0,1,0,1,5406897,0.70,1,1,0,0,1,Jul-17,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0179631637
EncryptoTel,0,0,1,1,0,0,Unknown,3,0,0,1,0,0,0,0,0,1,0,0,1,1,4429211,0.70,1,0,1,0,1.05,Apr-17,37,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0147040118
Bitcrystals,0,0,1,1,0,0,60,12,1,0,1,1,0,0,0,0,1,0,0,0,1,584478,0.70,1,0,1,0,1.5,Aug-15,30,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0018874544
Rise,0,0,1,0,1,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,935000,0.88,1,0,1,0,1.25,May-16,45,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0030559322
Gambit,0,0,1,1,0,0,14,Unknown,1,0,1,1,0,0,0,0,0,0,0,0,0,119400,1.00,1,1,0,0,1,May-15,14,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0003370999
Nimiq,0,0,1,0,1,0,Unknown,14,1,0,0,0,0,1,0,0,0,0,0,0,0,18000000,0.50,1,0,1,0,1.4,Jul-17,10,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0599427311
Lunyr,0,0,1,0,1,0,5,3,0,0,1,1,0,0,0,0,0,1,0,0,1,3400000,0.78,1,1,0,0,1,Mar-17,28,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.0112730995
